validation_accuracy,n_estimators,learning_rate,max_depth,min_child_weight,subsample,colsample_bytree,reg_alpha,reg_lambda,tree_method,eval_metric,random_state,cm_count_true_GALAXY_pred_GALAXY,cm_count_true_GALAXY_pred_QSO,cm_count_true_GALAXY_pred_STAR,cm_count_true_QSO_pred_GALAXY,cm_count_true_QSO_pred_QSO,cm_count_true_QSO_pred_STAR,cm_count_true_STAR_pred_GALAXY,cm_count_true_STAR_pred_QSO,cm_count_true_STAR_pred_STAR,cm_percent_true_GALAXY_pred_GALAXY,cm_percent_true_GALAXY_pred_QSO,cm_percent_true_GALAXY_pred_STAR,cm_percent_true_QSO_pred_GALAXY,cm_percent_true_QSO_pred_QSO,cm_percent_true_QSO_pred_STAR,cm_percent_true_STAR_pred_GALAXY,cm_percent_true_STAR_pred_QSO,cm_percent_true_STAR_pred_STAR
0.958508703559366,1000,0.03,6,1,0.8,0.8,0.0,1.0,hist,mlogloss,42,71926,1136,2434,363,22797,269,491,98,15956,95.27127265020663,1.50471548161492,3.224011868178447,1.5493619019164284,97.30248836911521,1.1481497289683724,2.9676639468117254,0.5923239649440919,96.44001208824419
0.9594440114315407,1200,0.03,6,1,0.8,0.8,0.0,1.0,hist,mlogloss,42,72029,1121,2346,362,22800,267,488,99,15958,95.40770371940235,1.484846879304864,3.107449401292784,1.545093687310598,97.31529301293268,1.1396132997567117,2.949531580537927,0.598368087035358,96.45210033242671
0.9600588897549147,1400,0.03,6,1,0.8,0.8,0.0,1.0,hist,mlogloss,42,72101,1104,2291,369,22793,267,482,99,15964,95.50307301049062,1.4623291300201335,3.0345978594892444,1.5749711895514107,97.28541551069188,1.1396132997567117,2.9132668479903296,0.598368087035358,96.48836506497432
0.9605525244652291,1600,0.03,6,1,0.8,0.8,0.0,1.0,hist,mlogloss,42,72173,1098,2225,376,22788,265,491,100,15954,95.59844230157888,1.454381689096111,2.9471760093249975,1.6048486917922231,97.26407443766273,1.131076870545051,2.9676639468117254,0.6044122091266244,96.42792384406165
0.9609508963367108,1800,0.03,6,1,0.8,0.8,0.0,1.0,hist,mlogloss,42,72227,1084,2185,383,22782,264,493,100,15952,95.66996926989509,1.435837660273392,2.8941930698315144,1.634726194033036,97.23846515002774,1.1268086559392205,2.979752190994258,0.6044122091266244,96.41583559987912
0.9613579284662683,2000,0.03,6,1,0.8,0.8,0.0,1.0,hist,mlogloss,42,72288,1065,2143,382,22785,262,511,99,15935,95.75076825262265,1.4106707640139875,2.838560983363357,1.6304579794272058,97.25126979384522,1.1182722267275598,3.08854638863705,0.598368087035358,96.31308552432759
0.9617216593054473,2200,0.03,6,1,0.8,0.8,0.0,1.0,hist,mlogloss,42,72344,1064,2088,385,22784,260,520,103,15922,95.82494436791353,1.4093461905266504,2.765709441559818,1.6432626232446967,97.2470015792394,1.109735797515899,3.1429434874584468,0.6225445754004231,96.23451193714114
0.9621113709188533,2400,0.03,6,1,0.8,0.8,0.0,1.0,hist,mlogloss,42,72401,1051,2044,389,22782,258,528,105,15912,95.90044505669174,1.3921267351912685,2.7074282081169865,1.6603354816680183,97.23846515002774,1.1011993683042383,3.191296464188577,0.6346328195829556,96.17407071622847
0.9623884991772755,2600,0.03,6,1,0.8,0.8,0.0,1.0,hist,mlogloss,42,72449,1045,2002,392,22780,257,542,105,15898,95.96402458408393,1.384179294267246,2.6517961216488293,1.6731401254855096,97.22992872081608,1.0969311536984079,3.2759141734663038,0.6346328195829556,96.08945300695075
0.962708928726076,2800,0.03,6,1,0.8,0.8,0.0,1.0,hist,mlogloss,42,72496,1041,1959,393,22778,258,549,106,15890,96.02627953798877,1.3788810003178977,2.5948394616933346,1.6774083400913398,97.22139229160443,1.1011993683042383,3.3182230281051677,0.6406769416742218,96.0411000302206
0.962847492855287,3000,0.03,6,1,0.8,0.8,0.0,1.0,hist,mlogloss,42,72528,1030,1938,398,22772,259,561,104,15880,96.06866588958354,1.36431069195719,2.567023418459256,1.6987494131204917,97.19578300396944,1.1054675829100686,3.3907524932003628,0.6285886974916893,95.98065880930795
