number,value,datetime_start,datetime_complete,duration,params_alpha,params_eta0,params_l1_ratio,params_learning_rate,params_loss,params_max_iter,params_penalty,params_tol,user_attrs_accuracy_per_second,user_attrs_confusion_matrix,user_attrs_fit_time_sec,user_attrs_fold_1_accuracy,user_attrs_fold_2_accuracy,user_attrs_fold_3_accuracy,user_attrs_fold_4_accuracy,user_attrs_fold_5_accuracy,user_attrs_mean_accuracy,user_attrs_std_accuracy,state
8,0.9219204385422868,2026-06-14 14:01:23.865098,2026-06-14 14:08:59.862970,0 days 00:07:35.997872,0.002317220606951952,0.0012831731750247645,,adaptive,squared_hinge,1241,l2,0.0014048463278466847,0.0020218054508810623,"[[359536, 10157, 7787], [2896, 107784, 6463], [17718, 58, 64948]]",455.9886996746063,0.9222482029964493,0.9221616004156924,0.9208705366808407,0.9223947553022889,0.9219270973161627,0.9219204385422868,0.0005464253349458144,COMPLETE
19,0.9203442635774344,2026-06-14 14:08:59.870701,2026-06-14 14:12:26.008776,0 days 00:03:26.138075,2.205727414045102e-06,0.009835855196493326,0.5808477333184471,invscaling,modified_huber,1684,elasticnet,0.00041211340164503833,0.00446620965763986,"[[359287, 9831, 8362], [2863, 107213, 7067], [17831, 35, 64858]]",206.06830716133118,0.9207326578332035,0.9204122282844028,0.9198139760455187,0.9205760853562428,0.9201863703678044,0.9203442635774344,0.0003210438501482562,COMPLETE
3,0.9141694700341837,2026-06-14 14:01:23.785565,2026-06-14 15:02:11.320951,0 days 01:00:47.535386,0.0035439583358109887,0.00019910584787632767,,optimal,modified_huber,2264,l1,5.677303696059256e-05,0.0002506274588582298,"[[357380, 10515, 9585], [3503, 108942, 4698], [19731, 1522, 61471]]",3647.5231971740723,0.9112063739499437,0.9161167402788604,0.9147736621950481,0.9114480942937065,0.9173024794533597,0.9141694700341837,0.002455951217715637,COMPLETE
22,0.9139772080148623,2026-06-14 14:09:21.031971,2026-06-14 14:13:06.103234,0 days 00:03:45.071263,5.3233995708997075e-05,0.004346810446297687,,invscaling,squared_hinge,1723,l1,0.0016262572488937093,0.004063874893511211,"[[357808, 10857, 8815], [2481, 106502, 8160], [19338, 14, 63372]]",224.90288996696472,0.9145925348575388,0.9142461245345112,0.9131801609089886,0.9138296858897194,0.9140375338835531,0.9139772080148623,0.0004715144313125386,COMPLETE
21,0.9047314692428016,2026-06-14 14:09:14.458795,2026-06-14 14:20:30.570633,0 days 00:11:16.111838,0.0078380705724136,0.0029697655076080173,,adaptive,log_loss,2883,l2,0.0016646539128307276,0.0013383149944363355,"[[358089, 10819, 8572], [3629, 106049, 7465], [24494, 24, 58206]]",676.0228145122528,0.9046592188447216,0.9052307958777172,0.9042080558418277,0.9050221271510103,0.9045371484987312,0.9047314692428016,0.0003607634593076601,COMPLETE
9,0.9007252132917898,2026-06-14 14:01:23.884421,2026-06-14 14:09:14.452829,0 days 00:07:50.568408,0.012021186764606657,0.00012283428373186073,0.17857230817693992,adaptive,log_loss,1045,elasticnet,0.00014066681342448867,0.0019141856424106276,"[[357487, 11275, 8718], [3884, 105873, 7386], [26028, 25, 56671]]",470.552695274353,0.9004589936780116,0.9012730579371265,0.9003282266235959,0.901047034268938,0.900518753951277,0.9007252132917898,0.0003673688210846379,COMPLETE
1,0.8987645193583431,2026-06-14 14:01:23.770141,2026-06-14 14:05:18.598699,0 days 00:03:54.828558,7.893684852260026e-06,0.0012847079621933725,0.7384287489347421,invscaling,squared_hinge,2256,elasticnet,0.005437754714350381,0.0038281666303634125,"[[354911, 12424, 10145], [2526, 105667, 8950], [24390, 13, 58321]]",234.77674984931946,0.8990646921278254,0.8995063652896856,0.8980159176921945,0.8988646303336826,0.8983709913483272,0.8987645193583431,0.0005226337214530135,COMPLETE
2,0.8981132651460243,2026-06-14 14:01:23.773089,2026-06-14 14:16:43.706390,0 days 00:15:19.933301,0.026189167715306112,0.0031820191323539224,,adaptive,log_loss,581,l1,4.66798145894013e-05,0.0009763598490332482,"[[358665, 11299, 7516], [6229, 104451, 6463], [27282, 35, 55407]]",919.8588676452637,0.8980341214168183,0.8989001472243873,0.8977387870337493,0.8978686920298955,0.8980245780252708,0.8981132651460243,0.00040825541177429473,COMPLETE
15,0.8944274402438275,2026-06-14 14:01:24.093181,2026-06-14 14:34:40.187371,0 days 00:33:16.094190,0.0002836538977241629,0.003701315742929474,,invscaling,log_loss,2282,l1,0.00019288969164880031,0.00044809050210459315,"[[353505, 12918, 11057], [3145, 105856, 8142], [25672, 18, 57034]]",1996.0865852832794,0.8941456655408331,0.8953667619295055,0.8941101074747335,0.8944045587993315,0.8941101074747335,0.8944274402438275,0.00048242013755987805,COMPLETE
16,0.8919055466169323,2026-06-14 14:05:18.616567,2026-06-14 14:07:19.845251,0 days 00:02:01.228684,0.03283522717307651,0.09738596283929533,,optimal,hinge,1721,l1,0.0005224686189467555,0.007360920709842825,"[[356035, 14502, 6943], [3004, 107179, 6960], [30829, 170, 51725]]",121.16766119003296,0.8969515891573568,0.8952368580583702,0.8710389801591769,0.8983709913483272,0.8979293143614303,0.8919055466169323,0.010488675134543239,COMPLETE
24,0.8891862286411947,2026-06-14 14:09:23.961347,2026-06-14 15:56:53.642052,0 days 01:47:29.680705,0.022194292434411938,0.0007919747100291382,,optimal,squared_hinge,1889,l1,0.00028085766780212905,0.0001378653485862236,"[[350667, 8107, 18706], [8997, 103904, 4242], [21713, 2213, 58798]]",6449.671638011932,0.8851389971421149,0.8916861522473369,0.8873810286743629,0.8921875135317704,0.8895374516103889,0.8891862286411947,0.0026464888562935038,COMPLETE
11,0.8821298108057427,2026-06-14 14:01:23.907037,2026-06-14 14:05:53.517127,0 days 00:04:29.610090,0.01772749962677072,0.0005835154087046055,,invscaling,modified_huber,1614,l1,0.0037423381964675688,0.0032725420603842764,"[[352796, 14439, 10245], [3871, 105764, 7508], [31959, 30, 50735]]",269.5549192428589,0.8814843682341734,0.8828959903005109,0.8818297551723839,0.8823233941577393,0.8821155461639054,0.8821298108057427,0.0004756760470497871,COMPLETE
12,0.8755704972138872,2026-06-14 14:01:23.919997,2026-06-14 14:34:37.551053,0 days 00:33:13.631056,3.7626629782735524e-06,0.00013429324483139846,0.4318035632374776,invscaling,squared_hinge,936,elasticnet,0.00023359314243997603,0.0004391854714532078,"[[349771, 16017, 11692], [4127, 106026, 6990], [32946, 67, 49711]]",1993.6235466003418,0.8753182644842816,0.8759677838399584,0.8752132607020066,0.8759234080142723,0.8754297690289169,0.8755704972138872,0.00031414213140979884,COMPLETE
13,0.8645407339681258,2026-06-14 14:01:23.927724,2026-06-14 14:13:18.965691,0 days 00:11:55.037967,0.009378410901416206,0.001775410330003622,,invscaling,log_loss,2377,l2,0.0006832764279044469,0.0012092335329025683,"[[344578, 18844, 14058], [5032, 106352, 5759], [34388, 126, 48210]]",714.9493546485901,0.8651944227937992,0.864752749631939,0.8641193740311253,0.8642232980280422,0.8644138253557232,0.8645407339681258,0.00039158020659381057,COMPLETE
6,0.8217657645435379,2026-06-14 14:01:23.835026,2026-06-14 14:10:13.471319,0 days 00:08:49.636293,0.07976524809717352,0.009399818077289877,,adaptive,hinge,2988,l1,0.00980329598498001,0.0015517372655239985,"[[362533, 14547, 400], [9780, 106486, 877], [77138, 161, 5425]]",529.5779013633728,0.8214427989954101,0.8232268121590023,0.8212160839705895,0.8213200079675065,0.8216231196251808,0.8217657645435379,0.0007429888437946954,COMPLETE
10,0.8190326049000205,2026-06-14 14:01:23.893194,2026-06-14 15:17:41.079231,0 days 01:16:17.186037,0.09971925988541493,0.0026194785425743636,0.37385033637609144,optimal,squared_hinge,849,elasticnet,0.00026465965123173855,0.00017893851435816951,"[[363693, 11763, 2024], [25419, 90684, 1040], [53236, 10999, 18489]]",4577.17338180542,0.8064692127825409,0.8142547847925868,0.8112393802665651,0.8251218941880505,0.83807775247036,0.8190326049000205,0.011324290941806175,COMPLETE
18,0.8017985731732628,2026-06-14 14:07:19.856573,2026-06-14 14:21:58.699206,0 days 00:14:38.842633,0.060139717271420715,0.0027930060057198528,,adaptive,log_loss,2473,l1,1.9971819192760985e-05,0.0009124007486638027,"[[371406, 6044, 30], [26204, 90925, 14], [82134, 5, 585]]",878.7789514064789,0.8010305707110071,0.8017407118732138,0.8028908191809057,0.8019295222094242,0.8014012418917632,0.8017985731732628,0.0006262901644789852,COMPLETE
